region;baron_first_blue;champion_first_blue;dragon_first_blue;inhibitor_first_blue;herald_first_blue;tower_first_blue;baron_first_red;champion_first_red;dragon_first_red;inhibitor_first_red;herald_first_red;tower_first_red;dif_kills;dif_barons;dif_dragons;dif_inhibitor;dif_herald;dif_tower;dif_dmg_dealt_to_buildings;dif_dmg_dealt_to_objectives;dif_dmg_dealt_to_turrets;dif_dmg_self_mitigated;dif_gold_earned;dif_gold_spent;dif_magic_dmg_dealt;dif_physical_dmg_dealt;dif_true_dmg_dealt;dif_total_minions_killed;dif_neutral_minions_killed;dif_total_heal;dif_vision_score;win_blue
KR;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;-20.0;0.0;0.0;0.0;2.0;-4.0;-25148.0;328.0;-25148.0;12120.0;-17386.0;-1870.0;-354.0;-84020.0;474.0;-110.0;0.0;-300.0;-32.0;0.0
KR;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;21.0;1.0;1.0;1.0;2.0;8.0;15943.0;66905.0;15943.0;119.0;16493.0;13550.0;52102.0;120355.0;25760.0;-2.0;90.0;7454.0;63.0;1.0
KR;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;-4.0;0.0;-2.0;0.0;-2.0;-5.0;-16564.0;-22211.0;-16564.0;11492.0;-6576.0;-4770.0;1570.0;-88801.0;75112.0;12.0;-33.0;13698.0;-15.0;0.0
KR;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;-9.0;0.0;-1.0;0.0;-1.0;-3.0;-28820.0;-71900.0;-28820.0;2795.0;-36980.0;-31750.0;92635.0;-349595.0;-70270.0;-110.0;-175.0;-9430.0;-40.0;0.0
KR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;-11.0;0.0;-1.0;0.0;-1.0;-2.0;-3944.0;-18600.0;-3944.0;10900.0;-8188.0;-6010.0;-24932.0;-49214.0;10832.0;-17.0;-29.0;-6713.0;-23.0;0.0
KR;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;-19.0;-1.0;-1.0;-1.0;0.0;-6.0;-14936.0;-31520.0;-14936.0;9142.0;-10848.0;-7275.0;-51940.0;18078.0;20748.0;21.0;22.0;3348.0;5.0;0.0
KR;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;-24.0;-1.0;0.0;-1.0;-2.0;-7.0;-17216.0;-87604.0;-17216.0;-26038.0;-22588.0;-17750.0;57082.0;-174868.0;19582.0;50.0;-46.0;-40058.0;-82.0;0.0
KR;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;-12.0;-1.0;0.0;-1.0;-2.0;-8.0;-66895.0;-151665.0;-66895.0;-85470.0;-56590.0;-24635.0;-66075.0;-201030.0;-4770.0;5.0;-70.0;-75680.0;-95.0;0.0
KR;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;9.0;1.0;-2.0;2.0;-2.0;6.0;14792.0;3253.0;14792.0;-9123.0;10617.0;4190.0;-27081.0;146453.0;22990.0;19.0;49.0;-8577.0;-28.0;1.0
KR;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;8.0;0.0;2.0;0.0;-2.0;0.0;4712.0;4161.0;4712.0;-29177.0;2634.0;-4550.0;-192060.0;103179.0;-9407.0;-11.0;-69.0;-14161.0;-15.0;1.0
